species_requested,scientificName,country,decimalLatitude,decimalLongitude,eventDate,year,basisOfRecord,institutionCode,datasetName,gbifID
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-09-08,2020,HUMAN_OBSERVATION,VecB,,4539687133
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-09-02,2020,HUMAN_OBSERVATION,VecB,,4539688084
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-09-06,2020,HUMAN_OBSERVATION,VecB,,4539688131
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-09-03,2020,HUMAN_OBSERVATION,VecB,,4539689086
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-09-03,2020,HUMAN_OBSERVATION,VecB,,4539689098
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-09-02,2020,HUMAN_OBSERVATION,VecB,,4539691062
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.967,30.115,2020-10,2020,HUMAN_OBSERVATION,VecB,,3893354309
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.967,30.115,2020-10,2020,HUMAN_OBSERVATION,VecB,,3893354623
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-2.015,30.026,2020-10,2020,HUMAN_OBSERVATION,VecB,,3893355555
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-2.015,30.026,2020-10,2020,HUMAN_OBSERVATION,VecB,,3893356541
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.887,30.064,2020-10,2020,HUMAN_OBSERVATION,VecB,,3893356551
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.887,30.064,2020-10,2020,HUMAN_OBSERVATION,VecB,,3893359541
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-10-05,2020,HUMAN_OBSERVATION,VecB,,4539682145
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-10-01,2020,HUMAN_OBSERVATION,VecB,,4539683078
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-10-02,2020,HUMAN_OBSERVATION,VecB,,4539685106
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-10-07,2020,HUMAN_OBSERVATION,VecB,,4539685145
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-10-02,2020,HUMAN_OBSERVATION,VecB,,4539686060
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-10-07,2020,HUMAN_OBSERVATION,VecB,,4539686137
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-10-01,2020,HUMAN_OBSERVATION,VecB,,4539687137
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-10-05,2020,HUMAN_OBSERVATION,VecB,,4539691101
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.887,30.064,2020-11,2020,HUMAN_OBSERVATION,VecB,,3893354314
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-2.015,30.026,2020-11,2020,HUMAN_OBSERVATION,VecB,,3893355551
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.887,30.064,2020-11,2020,HUMAN_OBSERVATION,VecB,,3893356544
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-2.015,30.026,2020-11,2020,HUMAN_OBSERVATION,VecB,,3893357303
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.967,30.115,2020-11,2020,HUMAN_OBSERVATION,VecB,,3893358310
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Rwanda,-1.967,30.115,2020-11,2020,HUMAN_OBSERVATION,VecB,,3893358313
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-11-08,2020,HUMAN_OBSERVATION,VecB,,4539683094
Anopheles gambiae,"Anopheles gambiae Giles, 1900",Uganda,1.66042,33.7276,2020-11-10,2020,HUMAN_OBSERVATION,VecB,,4539684084
