GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
NTD_TSOL3,Number of pigs in the country,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/taenia-solium-number-of-pigs-in-the-country,2016,2016,2016,AFR,Africa,RWA,Rwanda,,,,1011250.0,1011250,,
NTD_5,Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-reported-cases-of-human-african-trypanosomiasis-%28t-b-rhodesiense%29,2005,2005,2005,AFR,Africa,RWA,Rwanda,,,,,No data,,
NTD_ONCHEMO,Estimated number of individuals in the country requiring preventive chemotherapy for onchocerciasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-individuals-in-the-country-requiring-preventive-chemotherapy-for-onchocerciasis,2017,2017,2017,AFR,Africa,RWA,Rwanda,,,,,No PC required,,
NTD_5,Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-reported-cases-of-human-african-trypanosomiasis-%28t-b-rhodesiense%29,2017,2017,2017,AFR,Africa,RWA,Rwanda,,,,0.0,0,,
NTD_TSOL3,Number of pigs in the country,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/taenia-solium-number-of-pigs-in-the-country,2020,2020,2020,AFR,Africa,RWA,Rwanda,,,,1541367.0,1541367,,
NTD_5,Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-reported-cases-of-human-african-trypanosomiasis-%28t-b-rhodesiense%29,2003,2003,2003,AFR,Africa,RWA,Rwanda,,,,,No data,,
NTD_5,Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-reported-cases-of-human-african-trypanosomiasis-%28t-b-rhodesiense%29,1990,1990,1990,AFR,Africa,RWA,Rwanda,,,,,No data,,
NTD_5,Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-reported-cases-of-human-african-trypanosomiasis-%28t-b-rhodesiense%29,2001,2001,2001,AFR,Africa,RWA,Rwanda,,,,,No data,,
NTD_YAWSNUM_CONF,Number of confirmed yaws cases reported,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-confirmed-cases-of-yaws-reported,2022,2022,2022,AFR,Africa,RWA,Rwanda,,,,,No data,,
NTD_5,Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-reported-cases-of-human-african-trypanosomiasis-%28t-b-rhodesiense%29,2002,2002,2002,AFR,Africa,RWA,Rwanda,,,,,No data,,
NTD_5,Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-reported-cases-of-human-african-trypanosomiasis-%28t-b-rhodesiense%29,2004,2004,2004,AFR,Africa,RWA,Rwanda,,,,,No data,,
NTD_5,Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-reported-cases-of-human-african-trypanosomiasis-%28t-b-rhodesiense%29,2006,2006,2006,AFR,Africa,RWA,Rwanda,,,,,No data,,
NTD_YAWSNUM_CONF,Number of confirmed yaws cases reported,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-confirmed-cases-of-yaws-reported,2017,2017,2017,AFR,Africa,RWA,Rwanda,,,,,No data,,
NTD_5,Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-reported-cases-of-human-african-trypanosomiasis-%28t-b-rhodesiense%29,2024,2024,2024,AFR,Africa,RWA,Rwanda,,,,0.0,0,,
NTD_5,Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-reported-cases-of-human-african-trypanosomiasis-%28t-b-rhodesiense%29,2016,2016,2016,AFR,Africa,RWA,Rwanda,,,,0.0,0,,
NTD_5,Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-reported-cases-of-human-african-trypanosomiasis-%28t-b-rhodesiense%29,2022,2022,2022,AFR,Africa,RWA,Rwanda,,,,0.0,0,,
NTD_ONCHEMO,Estimated number of individuals in the country requiring preventive chemotherapy for onchocerciasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-individuals-in-the-country-requiring-preventive-chemotherapy-for-onchocerciasis,2023,2023,2023,AFR,Africa,RWA,Rwanda,,,,,No PC required,,
NTD_YAWSNUM_CONF,Number of confirmed yaws cases reported,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-confirmed-cases-of-yaws-reported,2024,2024,2024,AFR,Africa,RWA,Rwanda,,,,,No data,,
NTD_ONCHEMO,Estimated number of individuals in the country requiring preventive chemotherapy for onchocerciasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-individuals-in-the-country-requiring-preventive-chemotherapy-for-onchocerciasis,2022,2022,2022,AFR,Africa,RWA,Rwanda,,,,,No PC required,,
NTD_ONCTREAT,Reported number of individuals treated for onchocerciasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-individuals-treated-for-onchocerciasis,2013,2013,2013,AFR,Africa,RWA,Rwanda,,,,,No PC required,,
NTD_ONCHEMO,Estimated number of individuals in the country requiring preventive chemotherapy for onchocerciasis,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-individuals-in-the-country-requiring-preventive-chemotherapy-for-onchocerciasis,2021,2021,2021,AFR,Africa,RWA,Rwanda,,,,,No PC required,,
