GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,RWA,Rwanda,WEALTHQUINTILE,WEALTHQUINTILE_WQ4,Q4,88.54,88.54,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,RWA,Rwanda,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,Q3,12.39,12.39,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2010,2010,2010,AFR,Africa,RWA,Rwanda,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,85.1,85.1,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,RWA,Rwanda,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,Q5 (Richest),78.45,78.45,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2008,2008,2008,AFR,Africa,RWA,Rwanda,,,,5.978008761,6.0,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,RWA,Rwanda,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,17.16,17.16,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,RWA,Rwanda,WEALTHQUINTILE,WEALTHQUINTILE_WQ2,Q2,13.32,13.32,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2010,2010,2010,AFR,Africa,RWA,Rwanda,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,2.83,2.83,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,RWA,Rwanda,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,3.46,3.46,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,RWA,Rwanda,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,0.77,0.77,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,RWA,Rwanda,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,1.7,1.7,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2010,2010,2010,AFR,Africa,RWA,Rwanda,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,0.0,0,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2010,2010,2010,AFR,Africa,RWA,Rwanda,,,,7.388374771,7.4,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,RWA,Rwanda,WEALTHQUINTILE,WEALTHQUINTILE_WQ4,Q4,11.46,11.46,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,RWA,Rwanda,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,Q5 (Richest),21.55,21.55,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2023,2023,2023,AFR,Africa,RWA,Rwanda,,,,7.483621382,7.5,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2020,2020,2020,AFR,Africa,RWA,Rwanda,,,,7.435419384,7.4,,
