source_file,gbif_id,genus_query,scientific_name,species,event_date,year,month,day,district,state_province,latitude,longitude,individual_count,basis_of_record,sampling_protocol,license,references,limitations
gbif_rwanda_anopheles_occurrences.json,3893357623,Anopheles,"Anopheles gambiae Giles, 1900",Anopheles gambiae,2020-06,2020,6,,Kicukiro,Umujyi wa Kigali,-1.967,30.115,2,HUMAN_OBSERVATION,man biting catch - indoors,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=62452930,"presence-only public occurrence; use as supporting evidence, not PI field outcome"
gbif_rwanda_anopheles_occurrences.json,3893361542,Anopheles,"Anopheles gambiae Giles, 1900",Anopheles gambiae,2020-06,2020,6,,Kicukiro,Umujyi wa Kigali,-1.967,30.115,5,HUMAN_OBSERVATION,man biting catch - outdoors,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=62452309,"presence-only public occurrence; use as supporting evidence, not PI field outcome"
gbif_rwanda_anopheles_occurrences.json,3893354301,Anopheles,"Anopheles gambiae Giles, 1900",Anopheles gambiae,2020-07,2020,7,,Gasabo,Umujyi wa Kigali,-1.887,30.064,115,HUMAN_OBSERVATION,man biting catch - outdoors,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=62450346,"presence-only public occurrence; use as supporting evidence, not PI field outcome"
gbif_rwanda_anopheles_occurrences.json,3893355538,Anopheles,"Anopheles gambiae Giles, 1900",Anopheles gambiae,2020-07,2020,7,,Kicukiro,Umujyi wa Kigali,-1.967,30.115,14,HUMAN_OBSERVATION,man biting catch - outdoors,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=62452217,"presence-only public occurrence; use as supporting evidence, not PI field outcome"
gbif_rwanda_anopheles_occurrences.json,3893358308,Anopheles,"Anopheles gambiae Giles, 1900",Anopheles gambiae,2020-07,2020,7,,Nyarugenge,Umujyi wa Kigali,-2.015,30.026,6,HUMAN_OBSERVATION,man biting catch - indoors,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=62450403,"presence-only public occurrence; use as supporting evidence, not PI field outcome"
gbif_rwanda_anopheles_occurrences.json,3893359540,Anopheles,"Anopheles gambiae Giles, 1900",Anopheles gambiae,2020-07,2020,7,,Gasabo,Umujyi wa Kigali,-1.887,30.064,61,HUMAN_OBSERVATION,man biting catch - indoors,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=62452283,"presence-only public occurrence; use as supporting evidence, not PI field outcome"
gbif_rwanda_anopheles_occurrences.json,3893360545,Anopheles,"Anopheles gambiae Giles, 1900",Anopheles gambiae,2020-07,2020,7,,Nyarugenge,Umujyi wa Kigali,-2.015,30.026,6,HUMAN_OBSERVATION,man biting catch - outdoors,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=62452277,"presence-only public occurrence; use as supporting evidence, not PI field outcome"
gbif_rwanda_anopheles_occurrences.json,3893361305,Anopheles,"Anopheles gambiae Giles, 1900",Anopheles gambiae,2020-07,2020,7,,Kicukiro,Umujyi wa Kigali,-1.967,30.115,1,HUMAN_OBSERVATION,man biting catch - indoors,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=62450387,"presence-only public occurrence; use as supporting evidence, not PI field outcome"
gbif_rwanda_anopheles_occurrences.json,3893357622,Anopheles,"Anopheles gambiae Giles, 1900",Anopheles gambiae,2020-08,2020,8,,Nyarugenge,Umujyi wa Kigali,-2.015,30.026,8,HUMAN_OBSERVATION,man biting catch - indoors,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=62452927,"presence-only public occurrence; use as supporting evidence, not PI field outcome"
gbif_rwanda_anopheles_occurrences.json,3893358558,Anopheles,"Anopheles gambiae Giles, 1900",Anopheles gambiae,2020-08,2020,8,,Gasabo,Umujyi wa Kigali,-1.887,30.064,84,HUMAN_OBSERVATION,man biting catch - indoors,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=62452353,"presence-only public occurrence; use as supporting evidence, not PI field outcome"
